agent_id,canonical_overall_mae,canonical_coverage,n_scored,n_out_of_range
opus-4.6_run01,16.0783,1.0,196,0
opus-4.6_run02,16.4639,1.0,196,1
opus-4.6_run03,17.0903,1.0,196,0
opus-4.6_run04,14.7448,1.0,196,0
opus-4.6_run05,15.7894,1.0,196,0
opus-4.6_run06,15.5565,1.0,196,0
opus-4.6_run07,5.6791,1.0,196,0
opus-4.6_run08,13.3184,1.0,196,0
opus-4.6_run09,18.9451,1.0,196,8
opus-4.6_run10,14.5825,1.0,196,1
opus-4.6_run11,13.4646,1.0,196,2
opus-4.6_run12,12.9807,1.0,196,0
opus-4.6_run13,15.6879,1.0,196,2
opus-4.6_run14,17.102,1.0,196,2
opus-4.6_run15,14.8408,1.0,196,10
opus-4.6_run17,14.9034,1.0,196,0
opus-4.6_run18,15.3058,1.0,196,0
opus-4.6_run19,16.4118,1.0,196,1
opus-4.6_run20,17.0848,1.0,196,6
opus-4.6_run22,18.0178,1.0,196,4
opus-4.6_run23,16.4149,1.0,196,1
opus-4.6_run24,13.7198,1.0,196,0
opus-4.6_run25,16.805,1.0,196,0
opus-4.6_run26,15.1359,1.0,196,0
opus-4.6_run27,15.9706,1.0,196,1
opus-4.6_run28,13.0699,1.0,196,0
opus-4.6_run29,14.7954,1.0,196,3
opus-4.6_run30,14.2629,1.0,196,0
opus-4.6_run31,14.572,1.0,196,1
opus-4.6_run32,17.0789,1.0,196,1
opus-4.6_run33,13.3925,1.0,196,0
opus-4.6_run34,16.2087,1.0,196,1
opus-4.6_run35,9.4099,1.0,196,0
opus-4.6_run36,15.76,1.0,196,0
opus-4.6_run37,17.2269,1.0,196,0
opus-4.6_run38,12.7521,1.0,196,0
opus-4.6_run39,15.597,1.0,196,0
opus-4.6_run40,15.5089,1.0,196,1
opus-4.6_run41,17.2709,1.0,196,1
opus-4.6_run42,15.95,1.0,196,4
opus-4.6_run43,11.2578,1.0,196,0
opus-4.6_run44,18.7035,1.0,196,8
opus-4.6_run45,15.2311,1.0,196,0
opus-4.6_run46,14.8667,1.0,196,0
opus-4.6_run47,15.7462,1.0,196,0
opus-4.6_run48,11.1295,1.0,196,0
opus-4.6_run49,16.0141,1.0,196,1
opus-4.6_run50,15.7629,1.0,196,0
