rank,query_id,tier,description,delta_W,W_minus_q
1,T1_mae_lt10,1,canonical_overall_mae < 10,0.009732,0.110587
2,T2_canonical_mae_10_20,2,"canonical MAE in [10,20)",0.00709,0.11323
3,T3_mentions_dominant,3,notes mention 'dominant'/'rank-1'/'first component',-0.006024,0.126343
4,T3_mentions_lowrank,3,notes mention 'low-rank'/'low rank',-0.005833,0.126152
5,T2_filtered_bench,2,n_benchmarks < 49 (filtered preprocessing),0.005763,0.114556
6,T4_includes_arcagi2,4,selected set includes ARC-AGI-2,-0.005685,0.126004
7,T3_mentions_sparse,3,notes mention 'sparse'/'sparsity',-0.005499,0.125818
8,T3_mentions_elo,3,notes mention 'elo',-0.005484,0.125803
9,T4_includes_swebench,4,selected set includes SWE-bench Verified,-0.004732,0.125052
10,T1_ensemble_pred,1,prediction method is ensemble/blend,-0.004639,0.124958
11,T1_n_selected_le5,1,"n_selected in [1,5]",-0.004389,0.124708
12,T1_rank_le3,1,effective_rank <= 3,-0.004222,0.124541
13,T3_mentions_scale,3,notes mention scale mismatch/issue,-0.004069,0.124389
14,T1_missing_gt06,1,missing_fraction > 0.6,0.003882,0.116437
15,T2_minmax_norm,2,uses min-max normalization,0.003681,0.116638
16,T2_model_filter,2,n_models < 80 (aggressive model filtering),-0.003195,0.123514
17,T2_loo_eval,2,evaluation uses leave-one-out,-0.003161,0.12348
18,T4_includes_coding,4,selected set includes >=1 Coding benchmark,-0.003023,0.123342
19,T4_includes_math2,4,selected set includes >=2 Math benchmarks,-0.003008,0.123328
20,T4_includes_agentic,4,selected set includes >=1 Agentic benchmark,-0.002699,0.123018
