agent,opus-4.6_run01,opus-4.6_run02,opus-4.6_run03,opus-4.6_run04,opus-4.6_run05,opus-4.6_run06,opus-4.6_run07,opus-4.6_run08,opus-4.6_run09,opus-4.6_run10,opus-4.6_run11,opus-4.6_run12,opus-4.6_run13,opus-4.6_run14,opus-4.6_run15,opus-4.6_run17,opus-4.6_run18,opus-4.6_run19,opus-4.6_run20,opus-4.6_run22,opus-4.6_run23,opus-4.6_run24,opus-4.6_run25,opus-4.6_run26,opus-4.6_run27,opus-4.6_run28,opus-4.6_run29,opus-4.6_run30,opus-4.6_run31,opus-4.6_run32,opus-4.6_run33,opus-4.6_run34,opus-4.6_run35,opus-4.6_run36,opus-4.6_run37,opus-4.6_run38,opus-4.6_run39,opus-4.6_run40,opus-4.6_run41,opus-4.6_run42,opus-4.6_run43,opus-4.6_run44,opus-4.6_run45,opus-4.6_run46,opus-4.6_run47,opus-4.6_run48,opus-4.6_run49,opus-4.6_run50
opus-4.6_run01,0.0,0.09,0.19,0.29,0.17,0.26,0.09,0.01,0.2,0.13,0.04,0.12,0.09,0.04,0.06,0.13,0.1,0.1,0.13,0.33,0.1,0.19,0.26,0.16,0.03,0.07,0.17,0.03,0.0,0.13,0.03,0.23,0.09,0.0,0.2,0.06,0.23,0.33,0.04,0.04,0.26,0.23,0.01,0.2,0.16,0.04,0.04,0.1
opus-4.6_run02,0.09,0.0,0.155,0.155,0.115,0.02,0.055,0.155,0.05,0.015,0.18,0.11,0.045,0.08,0.08,0.085,0.05,0.05,0.085,0.085,0.05,0.155,0.12,0.12,0.215,0.215,0.015,0.015,0.25,0.085,0.015,0.015,0.145,0.15,0.05,0.22,0.085,0.185,0.18,0.02,0.22,0.085,0.055,0.05,0.22,0.08,0.22,0.25
opus-4.6_run03,0.19,0.155,0.0,0.055,0.015,0.02,0.045,0.255,0.05,0.015,0.08,0.09,0.055,0.02,0.08,0.085,0.05,0.05,0.085,0.185,0.05,0.045,0.22,0.02,0.115,0.115,0.215,0.185,0.15,0.085,0.215,0.015,0.055,0.05,0.15,0.12,0.015,0.185,0.18,0.08,0.22,0.285,0.145,0.15,0.02,0.12,0.02,0.05
opus-4.6_run04,0.29,0.155,0.055,0.0,0.215,0.22,0.155,0.055,0.15,0.285,0.08,0.01,0.155,0.08,0.02,0.185,0.25,0.25,0.185,0.285,0.15,0.255,0.12,0.22,0.015,0.115,0.115,0.015,0.15,0.015,0.015,0.285,0.045,0.05,0.15,0.22,0.385,0.185,0.18,0.18,0.12,0.085,0.055,0.25,0.22,0.18,0.02,0.15
opus-4.6_run05,0.17,0.115,0.015,0.215,0.0,0.26,0.115,0.015,0.05,0.305,0.04,0.07,0.015,0.04,0.06,0.005,0.15,0.05,0.005,0.205,0.05,0.215,0.26,0.06,0.095,0.195,0.095,0.105,0.05,0.095,0.095,0.205,0.015,0.15,0.15,0.16,0.105,0.205,0.14,0.14,0.16,0.105,0.085,0.25,0.16,0.14,0.16,0.15
opus-4.6_run06,0.26,0.02,0.02,0.22,0.26,0.0,0.12,0.02,0.3,0.24,0.02,0.06,0.22,0.02,0.02,0.04,0.2,0.1,0.14,0.14,0.2,0.22,0.08,0.28,0.06,0.16,0.16,0.14,0.1,0.06,0.06,0.44,0.12,0.2,0.1,0.02,0.24,0.14,0.12,0.22,0.18,0.24,0.02,0.2,0.28,0.22,0.18,0.0
opus-4.6_run07,0.09,0.055,0.045,0.155,0.115,0.12,0.0,0.045,0.05,0.085,0.08,0.19,0.155,0.22,0.22,0.185,0.05,0.05,0.115,0.015,0.05,0.255,0.02,0.02,0.015,0.015,0.085,0.115,0.15,0.085,0.015,0.085,0.045,0.05,0.05,0.08,0.185,0.015,0.02,0.08,0.12,0.015,0.155,0.05,0.02,0.02,0.02,0.05
opus-4.6_run08,0.01,0.155,0.255,0.055,0.015,0.02,0.045,0.0,0.05,0.085,0.18,0.01,0.155,0.02,0.18,0.085,0.05,0.05,0.085,0.085,0.05,0.055,0.02,0.02,0.115,0.215,0.215,0.185,0.25,0.115,0.315,0.085,0.045,0.05,0.05,0.22,0.015,0.015,0.18,0.18,0.12,0.185,0.245,0.15,0.02,0.02,0.12,0.05
opus-4.6_run09,0.2,0.05,0.05,0.15,0.05,0.3,0.05,0.05,0.0,0.25,0.0,0.1,0.25,0.0,0.1,0.05,0.2,0.0,0.25,0.15,0.3,0.05,0.0,0.3,0.15,0.05,0.25,0.05,0.0,0.05,0.05,0.35,0.15,0.2,0.1,0.0,0.15,0.15,0.0,0.2,0.2,0.25,0.05,0.1,0.1,0.2,0.2,0.1
opus-4.6_run10,0.13,0.015,0.015,0.285,0.305,0.24,0.085,0.085,0.25,0.0,0.06,0.03,0.185,0.04,0.06,0.095,0.35,0.05,0.195,0.195,0.15,0.185,0.04,0.14,0.005,0.105,0.205,0.005,0.15,0.205,0.205,0.295,0.015,0.25,0.15,0.24,0.195,0.005,0.16,0.26,0.04,0.095,0.115,0.25,0.14,0.26,0.14,0.05
opus-4.6_run11,0.04,0.18,0.08,0.08,0.04,0.02,0.08,0.18,0.0,0.06,0.0,0.06,0.18,0.08,0.08,0.26,0.1,0.1,0.16,0.16,0.0,0.18,0.12,0.02,0.24,0.24,0.24,0.04,0.1,0.14,0.14,0.06,0.02,0.1,0.2,0.22,0.16,0.04,0.18,0.08,0.12,0.16,0.12,0.0,0.12,0.08,0.12,0.3
opus-4.6_run12,0.12,0.11,0.09,0.01,0.07,0.06,0.19,0.01,0.1,0.03,0.06,0.0,0.09,0.16,0.26,0.03,0.1,0.2,0.07,0.03,0.1,0.01,0.16,0.04,0.23,0.13,0.07,0.03,0.2,0.23,0.03,0.03,0.19,0.1,0.0,0.14,0.07,0.13,0.16,0.06,0.16,0.13,0.01,0.1,0.14,0.16,0.04,0.1
opus-4.6_run13,0.09,0.045,0.055,0.155,0.015,0.22,0.155,0.155,0.25,0.185,0.18,0.09,0.0,0.12,0.08,0.185,0.25,0.15,0.085,0.085,0.25,0.155,0.02,0.22,0.015,0.015,0.215,0.085,0.05,0.115,0.215,0.285,0.155,0.05,0.15,0.02,0.285,0.015,0.08,0.28,0.12,0.185,0.045,0.05,0.02,0.08,0.12,0.15
opus-4.6_run14,0.04,0.08,0.02,0.08,0.04,0.02,0.22,0.02,0.0,0.04,0.08,0.16,0.12,0.0,0.02,0.06,0.0,0.2,0.26,0.06,0.0,0.02,0.02,0.02,0.04,0.04,0.04,0.06,0.0,0.04,0.16,0.06,0.08,0.0,0.0,0.12,0.06,0.06,0.08,0.02,0.08,0.06,0.02,0.0,0.22,0.08,0.02,0.1
opus-4.6_run15,0.06,0.08,0.08,0.02,0.06,0.02,0.22,0.18,0.1,0.06,0.08,0.26,0.08,0.02,0.0,0.14,0.2,0.0,0.16,0.06,0.3,0.02,0.08,0.12,0.24,0.14,0.14,0.06,0.3,0.24,0.24,0.06,0.22,0.2,0.1,0.22,0.06,0.04,0.18,0.18,0.08,0.06,0.22,0.2,0.12,0.08,0.12,0.1
opus-4.6_run17,0.13,0.085,0.085,0.185,0.005,0.04,0.185,0.085,0.05,0.095,0.26,0.03,0.185,0.06,0.14,0.0,0.05,0.25,0.095,0.095,0.05,0.185,0.04,0.04,0.005,0.005,0.105,0.005,0.05,0.005,0.105,0.095,0.085,0.05,0.15,0.04,0.195,0.005,0.06,0.06,0.14,0.095,0.015,0.05,0.04,0.16,0.06,0.25
opus-4.6_run18,0.1,0.05,0.05,0.25,0.15,0.2,0.05,0.05,0.2,0.35,0.1,0.1,0.25,0.0,0.2,0.05,0.0,0.2,0.25,0.15,0.3,0.15,0.0,0.2,0.15,0.05,0.15,0.05,0.1,0.25,0.15,0.25,0.05,0.2,0.2,0.2,0.35,0.05,0.2,0.3,0.1,0.05,0.05,0.2,0.2,0.2,0.1,0.1
opus-4.6_run19,0.1,0.05,0.05,0.25,0.05,0.1,0.05,0.05,0.0,0.05,0.1,0.2,0.15,0.2,0.0,0.25,0.2,0.0,0.15,0.05,0.1,0.15,0.1,0.1,0.05,0.05,0.05,0.05,0.0,0.05,0.05,0.15,0.05,0.0,0.0,0.1,0.35,0.05,0.1,0.1,0.1,0.05,0.15,0.0,0.2,0.2,0.1,0.2
