rank,query_id,query_name,tier,delta_W,n_yes,n_no
1,T1_Q2,canonical_mae_under_10,1,0.003470,2,46
2,T2_Q1,aggressive_filtering,2,0.001564,39,9
3,T1_Q5,missing_fraction_0.4_to_0.6,1,0.001142,41,7
4,T4_Q2,selected_includes_coding,4,-0.000587,33,15
5,T4_Q3,selected_includes_agentic,4,-0.000906,19,29
6,T1_Q4,effective_rank_leq_5,1,-0.001142,25,23
7,T2_Q2,z_score_normalization,2,-0.001402,13,35
8,T2_Q3,iterative_imputation,2,-0.001500,37,11
9,T3_Q5,claims_missing_data,3,-0.001589,37,11
10,T3_Q2,claims_scale_mismatch,3,-0.001608,13,35
11,T1_Q1,effective_rank_leq_3,1,-0.001736,20,28
12,T4_Q1,selected_includes_science,4,-0.002316,17,31
13,T4_Q5,selected_includes_reasoning,4,-0.002473,29,19
14,T4_Q4,selected_includes_arc_agi_2,4,-0.003146,23,25
15,T3_Q4,claims_dominant_factor,3,-0.003421,16,32
16,T3_Q3,claims_sparse,3,-0.004216,24,24
17,T2_Q5,leave_one_model_out_eval,2,-0.004585,26,22
18,T3_Q1,claims_low_rank,3,-0.004619,23,25
19,T2_Q4,ensemble_prediction,2,-0.005179,19,29
20,T1_Q3,n_selected_1_to_5,1,-0.005788,21,27
